name,value,year
Shell,2965.7,2002.9
Shell,2983,2003
Shell,2983.2,2003.1
Shell,2983.4,2003.2
Shell,2983.6,2003.3
Shell,2983.8,2003.4
Shell,2984,2003.5
Shell,2984.2,2003.6
Shell,2984.4,2003.7
Shell,2984.6,2003.8
Shell,2984.8,2003.9
Shell,2985,2004
Shell,2991.3,2004.1
Shell,2997.6,2004.2
Shell,3003.9,2004.3
Shell,3010.2,2004.4
Shell,3016.5,2004.5
Shell,3022.8,2004.6
Shell,3029.1,2004.7
Shell,3035.4,2004.8
Shell,3041.7,2004.9
Shell,3048,2005
Shell,3060.5,2005.1
Shell,3073,2005.2
Shell,3085.5,2005.3
Shell,3098,2005.4
Shell,3110.5,2005.5
Shell,3123,2005.6
Shell,3135.5,2005.7
Shell,3148,2005.8
Shell,3160.5,2005.9
Shell,3173,2006
Shell,3188.8,2006.1
Shell,3204.6,2006.2
Shell,3220.4,2006.3
Shell,3236.2,2006.4
Shell,3252,2006.5
Shell,3267.8,2006.6
Shell,3283.6,2006.7
Shell,3299.4,2006.8
Shell,3315.2,2006.9
Shell,3331,2007
Shell,3345,2007.1
Shell,3359,2007.2
Shell,3373,2007.3
Shell,3387,2007.4
Shell,3401,2007.5
Shell,3415,2007.6
Shell,3429,2007.7
Shell,3443,2007.8
Shell,3457,2007.9
Shell,3471,2008
Shell,3446.7,2008.1
Shell,3422.4,2008.2
Shell,3398.1,2008.3
Shell,3373.8,2008.4
Shell,3349.5,2008.5
Shell,3325.2,2008.6
Shell,3300.9,2008.7
Shell,3276.6,2008.8
Shell,3252.3,2008.9
Shell,3228,2009
Shell,3305.5,2009.1
Shell,3383,2009.2
Shell,3460.5,2009.3
Shell,3538,2009.4
Shell,3615.5,2009.5
Shell,3693,2009.6
Shell,3770.5,2009.7
Shell,3848,2009.8
Shell,3925.5,2009.9
Shell,4003,2010
Shell,4051,2010.1
Shell,4099,2010.2
Shell,4147,2010.3
Shell,4195,2010.4
Shell,4243,2010.5
Shell,4291,2010.6
Shell,4339,2010.7
