name,value,year,lastValue
Allianz,,2016.4,9687.3
Allianz,,2016.5,9740.4
Allianz,,2016.6,9793.5
Allianz,,2016.7,9846.6
Allianz,,2016.8,9899.7
Allianz,,2016.9,9952.8
Allianz,,2017,10005.9
Allianz,,2017.1,10059
Allianz,,2017.2,10135.2
Allianz,,2017.3,10211.4
Allianz,,2017.4,10287.6
Allianz,,2017.5,10363.8
Allianz,,2017.6,10440
Allianz,,2017.7,10516.2
Allianz,,2017.8,10592.4
Allianz,,2017.9,10668.6
Allianz,,2018,10744.8
Amazon,,2000,4528
Amazon,,2000.1,4528
Amazon,,2000.2,4388.2
Amazon,,2000.3,4248.4
Amazon,,2000.4,4108.6
Amazon,,2000.5,3968.8
Amazon,,2000.6,3829
Amazon,,2000.7,3689.2
Amazon,,2000.8,3549.4
Amazon,,2000.9,3409.6
Amazon,,2001,3269.8
Amazon,,2001.1,3130
Amazon,,2001.2,3134.5
Amazon,,2001.3,3139
Amazon,,2001.4,3143.5
Amazon,,2001.5,3148
Amazon,,2001.6,3152.5
Amazon,,2001.7,3157
Amazon,,2001.8,3161.5
Amazon,,2001.9,3166
Amazon,,2002,3170.5
Amazon,,2002.1,3175
Amazon,,2002.2,3197.8
Amazon,,2002.3,3220.6
Amazon,,2002.4,3243.4
Amazon,,2002.5,3266.2
Amazon,,2002.6,3289
Amazon,,2002.7,3311.8
Amazon,,2002.8,3334.6
Amazon,,2002.9,3357.4
Amazon,,2003,3380.2
Amazon,,2003.1,3403
Amazon,,2003.2,3478.3
Amazon,,2003.3,3553.6
Amazon,,2003.4,3628.9
Amazon,,2003.5,3704.2
Amazon,,2003.6,3779.5
Amazon,,2003.7,3854.8
Amazon,,2003.8,3930.1
Amazon,,2003.9,4005.4
Amazon,,2004,4080.7
Amazon,,2004.1,4156
Amazon,,2004.2,4165.2
Amazon,,2004.3,4174.4
Amazon,,2004.4,4183.6
Amazon,,2004.5,4192.8
Amazon,,2004.6,4202
Amazon,,2004.7,4211.2
Amazon,,2004.8,4220.4
Amazon,,2004.9,4229.6
Amazon,,2005,4238.8
Amazon,,2005.1,4248
Amazon,,2005.2,4293.9
Amazon,,2005.3,4339.8
Amazon,,2005.4,4385.7
Amazon,,2005.5,4431.6
Amazon,,2005.6,4477.5
Amazon,,2005.7,4523.4
Amazon,,2005.8,4569.3
Amazon,,2005.9,4615.2
Amazon,,2006,4661.1
Amazon,,2006.1,4707
Amazon,,2006.2,4777.4
Amazon,,2006.3,4847.8
Amazon,,2006.4,4918.2
Amazon,,2006.5,4988.6
Amazon,,2006.6,5059
Amazon,,2006.7,5129.4
